target,scope,n_train,n_main_features,n_pairwise_features,selected_domains,alpha,cv_rmse,candidate_rmse,ridge_rmse,candidate_spearman,ridge_spearman
wikipedia_en,test_60m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.1,0.2933173779045809,1.3648697003915073,1.3704447211707227,0.8881594758525976,0.8834737640192262
wikipedia_en,test_1B,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.1,0.2933173779045809,3.219264336548994,3.30326544733148,0.8147893772893773,0.8384615384615383
dm_mathematics,test_1m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.1,1.2184707390759038,1.1597608099302148,1.158720460894497,0.7717247940032043,0.7674668116273746
dm_mathematics,test_60m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.1,1.2184707390759038,1.545620950720172,1.5581854773788024,0.759292744335088,0.7521164740215153
dm_mathematics,test_1B,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.1,1.2184707390759038,2.5546937829089056,2.665456736794217,0.6826923076923076,0.6868131868131867
github,test_1m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.6353849024109964,0.5652880924850635,0.6119728112520411,0.8851904039826045,0.838052901121538
github,test_60m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.6353849024109964,2.5926997843682638,2.634377819388772,0.8853699359121078,0.8406700617990385
github,test_1B,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.6353849024109964,4.028707412058611,4.439418262274766,0.9073717948717948,0.6721153846153846
stackexchange,test_1m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.5037020653542099,0.437945117787601,0.4477524950460622,0.7994964522774088,0.819406614785992
stackexchange,test_60m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.5037020653542099,1.7377832981270027,1.765063681173524,0.8034361409933621,0.818485351338979
stackexchange,test_1B,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.5037020653542099,3.276416204613548,3.544596343714017,0.6831043956043955,0.7323260073260072
gutenberg_pg_19,test_1m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.24331171527557202,0.2477004316565679,0.2582268568762293,0.8900120164797437,0.8892974650949874
gutenberg_pg_19,test_60m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.24331171527557202,1.0084229399961435,1.011357088697703,0.8944237811856259,0.8938508525978485
gutenberg_pg_19,test_1B,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.24331171527557202,2.560825402384246,2.669301672884148,0.6337912087912086,0.6536630036630036
pile_cc,test_1m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.13437529229360928,0.13681705888257328,0.15389646084425954,0.9175776779583428,0.9007345788509955
pile_cc,test_60m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.13437529229360928,1.070865331040542,1.078855340129898,0.91259155413138,0.8918996051728083
pile_cc,test_1B,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.13437529229360928,2.5239142293115444,2.681493636789782,0.9655219780219779,0.8875915750915748
ubuntu_irc,test_1m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.6950774640474308,0.6527497698272708,0.6505137539938817,0.7444709887846188,0.7632639047837033
ubuntu_irc,test_60m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.6950774640474308,2.0296595080440842,2.0373596215892156,0.7484586003662164,0.7603742275120163
ubuntu_irc,test_1B,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.6950774640474308,3.8764821839244035,4.108484094455945,0.6237637362637362,0.660989010989011
hackernews,test_1m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.001,0.19441943140917384,0.1859430597917087,0.19011172175825378,0.8495222018768597,0.8437550068665597
hackernews,test_60m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.001,0.19441943140917384,1.002984998761536,1.0090733189537513,0.8474193179217211,0.8381151293202105
hackernews,test_1B,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.001,0.19441943140917384,2.2041300647568667,2.3221611816054737,0.5490384615384615,0.5690934065934066
pubmed_abstracts,test_1m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.1,0.30145577111046523,0.2545090202062028,0.262821817152922,0.9222033073929959,0.9226625085831998
pubmed_abstracts,test_60m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.1,0.30145577111046523,1.368204291581032,1.374699292579416,0.9198436427100022,0.9201640821698327
pubmed_abstracts,test_1B,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.1,0.30145577111046523,2.9428721948423098,3.0290228765992704,0.7063644688644688,0.6399725274725273
uspto_backgrounds,test_1m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.1,0.2755848400211763,0.2676313140939478,0.27081186457228196,0.8568408102540626,0.8521000228885328
uspto_backgrounds,test_60m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.1,0.2755848400211763,1.415034060869874,1.4218594853804105,0.8392617017624169,0.831399490730144
uspto_backgrounds,test_1B,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.1,0.2755848400211763,2.8359802258055575,2.8923224014166613,0.7912087912087912,0.7586538461538461
