source_row,Model,Domain,Task,Publication date,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset size (total),Dataset size notes,Training compute estimation method,Confidence,Base model,Open model weights?,exclusion_reasons,candidate,primary,loose_ratio,C_over_6ND,date,N,C,D
1756,Qwen-7B,Language,"Language modeling/generation,Translation",2023-09-28,7000000000.0,7B,1.01e+23,"2.4T tokens per Table 1

7b*2.4T*6 = 1.01e23",2400000000000,"""We have pretrained the language models, namely QWEN, on massive datasets containing trillions of tokens""
Table 1 indicates 2.4T tokens for Qwen-7B, and the above quote suggests the 2.4T aren't from multiple epochs on a smaller dataset.",Operation counting,Confident,,Yes,,True,True,True,1.001984126984127,2023-09-28 00:00:00+00:00,7000000000.0,1.01e+23,2400000000000.0
1732,Jiutian,Language,Language modeling/generation,2023-10-12,13900000000.0,"A 13.9B parameter model is mentioned prominently at
https://jiutian.10086.cn/portal/#/home
2025-01-13.",1.668e+23,6*13.9e9*2e12=1.668e23,2000000000000,"""Designed to enhance efficiency, the model has trained over 2 trillion tokens""",Operation counting,Likely,,Yes,,True,True,True,1.0,2023-10-12 00:00:00+00:00,13900000000.0,1.668e+23,2000000000000.0
1717,Stockmark-13B,Language,Language modeling/generation,2023-10-23,13200000000.0,13.2B from https://huggingface.co/stockmark/stockmark-13b,1.716e+22,"6ND = 6*13B*220B = 17160000000000000000000
""Stockmark-13b is a 13 billion parameter LLM pretrained from scratch based on Japanese corpus of about 220B tokens. This model is developed by Stockmark Inc.""",220000000000,220B tokens,Operation counting,Likely,,Yes,,True,True,True,0.9848484848484849,2023-10-23 00:00:00+00:00,13200000000.0,1.716e+22,220000000000.0
1698,Nanbeige-16B,Language,"Chat,Language modeling/generation,Code generation,Question answering",2023-11-01,16000000000.0,16 billion,2.4e+23,"""It uses 2.5T Tokens for pre-training"". I think that's the number of tokens the model was trained on, not the dataset size, but I'm not sure.

16 billion * 2.5 trillion * 6 = 2.4e23",2500000000000,"""It uses 2.5T Tokens for pre-training""",Operation counting,Likely,,Yes,,True,True,True,1.0,2023-11-01 00:00:00+00:00,16000000000.0,2.4e+23,2500000000000.0
1700,Calm2-7B,Language,Language modeling/generation,2023-11-01,7000000000.0,7B,5.46e+22,"6*7B*1.3T = 54600000000000000000000
6ND aproximation",1300000000000,"""1.3T tokens of publicly available Japanese and English datasets.""",Operation counting,Confident,,Yes,,True,True,True,1.0,2023-11-01 00:00:00+00:00,7000000000.0,5.46e+22,1300000000000.0
1672,Jais-30b (phase 1),Language,"Language modeling/generation,Question answering",2023-11-08,30000000000.0,"30B

""The backbone of Jais-30B is a causal decoder-only large language model. It is engineered with 48 transformer blocks, 56 attention heads, and an embedding dimension of 7168. """,1.0372049e+23,"6 FLOP / token / parameter * 30 * 10^9 parameters * 427 * 10^9 tokens [ see dataset size notes] = 7.686e+22 FLOP

7500000000000000 FLOP / chip / sec * 16 chips *  1080 hours * 3600 sec / hour * 0.3 [assumed utilization] = 1.39968e+23 FLOP

sqrt(7.686e+22*1.39968e+23) = 1.0372049e+23 FLOP",427000000000,"""126 billion Arabic tokens, 251 billion English tokens, and 50 billion code tokens""

total: 427 billion tokens

Batch size	2640
Steps	79k","Operation counting,Hardware",Confident,,Yes,,True,True,True,1.3494729378090036,2023-11-08 00:00:00+00:00,30000000000.0,1.0372049e+23,427000000000.0
1618,Mamba-2.8B,Language,"Language generation,Question answering",2023-12-01,2800000000.0,"2.8B

https://github.com/state-spaces/mamba",5.400000000000001e+21,"""Table 3 shows the performance of Mamba on a range of popular downstream zero-shot evaluation tasks. We compare against the most well-known open source models at these sizes, most importantly Pythia (Biderman et al. 2023) and RWKV (B. Peng et al. 2023) which were trained with the same tokenizer, dataset, and training length (300B tokens) as our models.""

3b * 300b * 6 = 5.4e21

Note: this is a new architecture so not sure how well 6*params*data works as a heuristic

Figure 4 shows perplexity curves where Mamba is trained up to 2e20 FLOP, but those are for the 125M and 1.3B variants.",300000000000,"300B tokens of text

""We compare against the most well-known open source models at these sizes, most importantly Pythia (Biderman et al. 2023) and RWKV (B. Peng et al. 2023) which were trained with the same tokenizer, dataset, and training length (300B tokens) as our models.""",Operation counting,Likely,,Yes,,True,True,True,1.0714285714285716,2023-12-01 00:00:00+00:00,2800000000.0,5.400000000000001e+21,300000000000.0
1621,SEA-LION V1 3B,Language,"Question answering,Chat,Language modeling/generation",2023-12-01,3000000000.0,,2.1893426e+22,"6 FLOP / parameter / token * 3B parameters * 980B tokens = 1.764 × 10^22 FLOP

312000000000000 FLOP / GPU / sec * 336 hours * 3600 sec / hour * 240 GPUs * 0.3 [assumed utilization] = 2.7172454e+22 FLOP

sqrt(1.764 × 10^22 *  2.7172454e+22) = 2.1893426e+22 FLOP",980000000000,"""SEA-LION was trained on 980B tokens""","Hardware,Operation counting",Confident,,Yes,,True,True,True,1.2411239229024944,2023-12-01 00:00:00+00:00,3000000000.0,2.1893426e+22,980000000000.0
1622,SEA-LION V1 7B,Language,"Question answering,Chat,Language modeling/generation",2023-12-01,7000000000.0,,4.3297598e+22,"6 FLOP / parameter / token * 7B parameters * 980B tokens = 4.116e+22 FLOP

312000000000000 FLOP / GPU / sec * 256 GPUs * 22 days * 24 hours / day * 3600 sec / hour * 0.3 [assumed utilization] = 4.5546209e+22 FLOP

sqrt(4.116e+22*4.5546209e+22) = 4.3297598e+22 FLOP",980000000000,"""SEA-LION was trained on 980B tokens""","Hardware,Operation counting",Confident,,Yes,,True,True,True,1.0519338678328474,2023-12-01 00:00:00+00:00,7000000000.0,4.3297598e+22,980000000000.0
1603,CRYSTALCODER,Language,"Language modeling/generation,Question answering,Code generation",2023-12-11,6700000000.0,"6.7B
We used the exact same model architecture as LLaMA 7B",5.55564e+22,6*6700000000.00*1382000000000 = 5.55564e+22,1382000000000, 1382B tokens in total,Operation counting,Confident,,Yes,,True,True,True,1.0,2023-12-11 00:00:00+00:00,6700000000.0,5.55564e+22,1382000000000.0
1560,DeepSeek LLM 67B,Language,"Chat,Language modeling/generation,Question answering",2024-01-05,67000000000.0,67B,8.04e+23,67B parameters * 2T tokens * 6 FLOP / token / parameter = 8.04e23 FLOP,2000000000000,"""We collect 2 trillion tokens for pre-training, primarily in Chinese and English""",Operation counting,Confident,,Yes,,True,True,True,1.0,2024-01-05 00:00:00+00:00,67000000000.0,8.04e+23,2000000000000.0
1562,DeepSeek LLM 7B,Language,"Chat,Language modeling/generation,Question answering",2024-01-05,7000000000.0,7B,8.4e+22,7B parameters * 2T tokens * 6 FLOP / parameter / token = 84*10^21 FLOP,2000000000000,"""We collect 2 trillion tokens for pre-training, primarily in Chinese and English""",Operation counting,Confident,,Yes,,True,True,True,1.0,2024-01-05 00:00:00+00:00,7000000000.0,8.4e+22,2000000000000.0
1552,InternLM2-20B,Language,"Chat,Language modeling/generation,Question answering",2024-01-12,20000000000.0,20B,3.12e+23,6ND = 6 * 2600000000000 * 20000000000 = 3.12e+23,2600000000000,"""The total number of tokens used for pre-training the 1.8B, 7B, and 20B models ranges from 2.0T to 2.6T, and the pre-training process consists of three distinct phases. """,Operation counting,Confident,,Yes,,True,True,True,1.0,2024-01-12 00:00:00+00:00,20000000000.0,3.12e+23,2600000000000.0
1536,StableLM-2-1.6B,Language,Language modeling/generation,2024-01-18,1644417024.0,Table under Model Architecture gives exact parameter count,1.92e+22,6 * 1.6B * 2T = 19200000000000000000000,2000000000000,"""model pre-trained on 2 trillion tokens of diverse multilingual and code datasets for two epochs.""",Operation counting,Confident,,Yes,,True,True,True,0.9729891971733807,2024-01-18 00:00:00+00:00,1644417024.0,1.92e+22,2000000000000.0
1524,DeepSeek Coder 33B,Language,Code generation,2024-01-25,33000000000.0,33B,3.96e+23,"""Step 1: Initially pre-trained with a dataset consisting of 87% code, 10% code-related language (Github Markdown and StackExchange), and 3% non-code-related Chinese language. Models are pre-trained using 1.8T tokens and a 4K window size in this step.
Step 2: Further Pre-training using an extended 16K window size on an additional 200B tokens, resulting in foundational models (DeepSeek-Coder-Base).
Step 3: Instruction Fine-tuning on 2B tokens of instruction data, resulting in instruction-tuned models (DeepSeek-Coder-Instruct).""

This means it was trained on 2T tokens. 2T * 33B * 6 = 3.96e23",2000000000000,"""Trained from scratch on 2T tokens, including 87% code and 13% linguistic data in both English and Chinese languages.""

""The total data volume is 798 GB with 603 million files.""",Operation counting,Likely,,Yes,,True,True,True,1.0,2024-01-25 00:00:00+00:00,33000000000.0,3.96e+23,2000000000000.0
1528,DeepSeek Coder 1.3B,Language,Code generation,2024-01-25,1300000000.0,1.3B,1.56e+22,2T tokens * 1.3B parameters * 6 FLOP / parameter / token = 15.6 * 10^21 = 1.56 * 10^22 FLOP,2000000000000,"""Trained from scratch on 2T tokens, including 87% code and 13% linguistic data in both English and Chinese languages.""

""The total data volume is 798 GB with 603 million files.""",Operation counting,Likely,,Yes,,True,True,True,1.0,2024-01-25 00:00:00+00:00,1300000000.0,1.56e+22,2000000000000.0
